,ME1 BM1,ME1 BM2,ME1 BM3,ME1 BM4,ME1 BM5,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME5 BM1,ME5 BM2,ME5 BM3,ME5 BM4,ME5 BM5
196001,-4.7424,-3.9909,-0.5861,-0.8173,0.118,-3.4035,-6.2947,-2.0203,-3.1132,-3.2557,-6.61,-3.0307,-5.8473,-3.7129,-4.1345,-5.5997,-4.1054,-6.2418,-7.244,-2.6881,-6.8546,-4.9918,-5.1334,-5.5398,-6.041
196002,-2.3724,2.1179,-0.9124,-0.9412,0.4768,1.0297,3.1611,1.588,2.1434,0.4422,1.9843,-0.135,0.1565,0.744,-1.0887,1.8222,1.5433,1.7003,0.6597,1.4765,2.9973,0.2723,0.6425,-3.3934,-4.0763
196003,-2.2218,-5.0762,-3.7087,-1.5271,-2.8071,-3.5638,-2.8796,-2.5178,-2.4235,-5.1294,-1.5654,0.2527,-3.2433,-3.9812,-6.0078,-0.7345,-0.2144,-3.9025,-4.6159,-6.0261,-0.1042,-1.6669,-0.943,-3.2461,-6.1023
196004,-4.2483,-1.4209,-2.3759,-3.3076,-3.1045,2.06,-4.1662,-1.6101,-1.5699,-2.8554,-0.7396,-1.8631,-3.0346,-2.7235,-5.2338,-0.2495,-1.1229,-2.4087,-1.8442,-2.8467,-0.0619,-0.9488,-1.6935,-2.6947,-3.6817
196005,-4.9509,-1.4987,-2.7492,1.1174,0.5579,2.4917,7.3847,1.5573,1.8168,5.0628,7.2535,0.0887,3.8043,1.3989,0.3292,3.452,1.829,1.0845,2.0689,0.3527,6.0167,4.2546,0.6655,-0.6506,-1.2758
196006,2.4824,-2.1007,4.9901,2.8929,0.8004,4.0739,2.4398,1.3799,2.2975,1.0795,3.9411,1.2929,1.9453,3.5302,0.861,2.5421,2.3505,2.4049,1.6807,2.9704,1.8706,3.0747,2.3115,2.3861,4.0102
196007,-3.7428,-3.7416,0.3194,-1.4095,-1.2463,-3.2287,-1.4271,-1.6904,-2.8887,-1.9302,-2.1928,-1.8273,-2.0008,-1.3429,-1.5175,-3.736,-0.8148,-0.5485,-0.0901,-5.2582,-4.4486,-2.4836,0.1595,-0.4923,-0.1745
196008,19.4891,16.1267,3.2272,4.1321,4.7563,0.3304,1.3079,4.0981,4.616,3.5878,4.5476,5.7079,3.4891,3.7594,1.3466,2.2216,3.3996,3.7703,4.4148,0.578,3.2626,2.9319,3.4912,3.7289,2.4162
196009,-11.4481,-7.7761,-3.9524,-4.2308,-7.5988,-7.6164,-5.3567,-6.948,-5.7276,-7.0696,-7.9785,-5.6365,-4.8454,-6.3056,-5.2664,-5.8001,-4.6546,-5.7485,-5.5407,-8.8896,-6.867,-5.3406,-4.851,-4.6954,-5.0588
196010,-9.983,-3.6712,-3.5954,-1.248,-3.7397,-7.2059,-3.2903,-2.5722,-4.3732,-1.5876,-4.4172,-2.8746,-3.2026,-2.516,-3.8665,-2.1699,-1.9502,-1.5584,1.1529,-3.7107,-0.7875,-0.326,-0.8495,-0.3954,1.7755
196011,-3.6595,-0.2508,0.0682,2.1533,1.6339,6.3874,8.4892,4.0055,4.9228,2.1355,8.4548,5.355,6.0638,5.9982,4.1439,8.6886,4.6519,4.592,4.7283,3.622,6.464,6.4665,3.7974,4.3951,5.6703
196012,6.9113,3.1609,2.7908,2.7395,0.9571,4.5424,2.2864,3.7436,3.5534,3.1456,2.8819,3.8679,4.6024,2.9306,2.0148,5.9552,4.9359,5.0378,3.8864,2.6336,4.7745,4.7674,5.7477,3.6216,3.3459
196101,11.9652,9.2967,9.5316,8.376,10.6456,10.1045,6.1458,7.5243,10.0504,9.7196,6.6416,7.1482,8.2033,10.6517,12.5497,6.7461,7.8609,7.7248,8.6964,13.6672,3.9236,5.5402,7.233,7.8888,8.7913
196102,7.073,6.9918,6.4366,7.1454,5.6181,8.5347,8.2976,5.4512,9.3173,8.0527,6.8886,7.1054,5.8395,5.9506,5.1718,6.1396,6.5018,5.1838,5.6155,3.8582,4.7077,4.5551,3.6919,3.2802,3.2341
196103,15.9143,3.9826,6.5854,5.9507,6.587,10.6887,8.714,4.8676,5.3135,6.8152,6.2216,4.3817,3.6958,4.0266,6.4603,5.4839,2.8707,4.3678,6.3513,3.247,1.9465,2.8955,2.2965,0.0881,2.0523
196104,-1.0655,2.6466,2.7652,4.0232,0.8249,1.9862,1.0129,0.8563,3.2401,3.6966,-1.2162,1.1191,-1.9707,0.6701,0.7921,-0.3738,0.9565,1.6503,-0.1249,-5.8752,-0.7953,-0.1467,0.8022,0.6121,2.6875
196105,2.3532,7.2162,3.0924,3.897,5.5956,1.8288,2.1376,7.1763,3.1128,5.191,4.4761,4.5149,4.2892,7.2425,3.1924,3.9612,3.7998,3.0446,4.3238,6.7046,4.3135,3.6866,2.903,3.3997,2.3057
196106,-5.302,-6.255,-4.8346,-4.7005,-4.8102,-7.7008,-3.3017,-4.1937,-5.0614,-5.3035,-5.5695,-5.1339,-3.403,-5.3637,-4.7283,-4.5873,-3.354,-2.7986,-0.9087,-2.9439,-3.064,-2.7122,-2.1414,-3.7999,-3.2372
196107,2.7956,-0.1697,-2.8562,2.2202,-1.2171,-0.3021,-1.2069,0.8132,0.8625,1.8684,-0.4634,0.9932,2.201,1.2865,1.8085,0.4055,2.8124,2.3378,0.7331,0.1692,1.1914,3.574,4.5742,1.0361,2.1692
