,Mkt-RF,SMB,HML,RF,Mkt
196001,-6.98,2.09,2.78,0.33,-6.65
196002,1.17,0.51,-1.93,0.29,1.46
196003,-1.63,-0.49,-2.94,0.35,-1.28
196004,-1.71,0.32,-2.28,0.19,-1.52
196005,3.12,1.21,-3.7,0.27,3.39
196006,2.08,-0.21,-0.34,0.24,2.32
196007,-2.37,-0.51,1.98,0.13,-2.24
196008,3.01,0.87,-0.18,0.17,3.18
196009,-5.99,-1.11,1.62,0.16,-5.83
196010,-0.71,-4.08,2.83,0.22,-0.49
196011,4.69,0.4,-2.43,0.13,4.82
196012,4.71,-1.55,-0.81,0.16,4.87
196101,6.2,0.64,3.72,0.19,6.39
196102,3.57,3.93,-0.66,0.14,3.71
196103,2.89,3.3,-0.73,0.2,3.09
196104,0.29,0.07,2.12,0.17,0.46
196105,2.4,2.01,0.37,0.18,2.58
196106,-3.08,-2.49,-0.14,0.2,-2.88
196107,2.83,-1.9,-0.09,0.18,3.01
196108,2.57,-1.75,-0.28,0.14,2.71
196109,-2.15,-1.07,-0.61,0.17,-1.98
196110,2.57,-1.65,0.15,0.19,2.76
196111,4.45,1.26,-1.23,0.15,4.6
196112,-0.18,-0.85,1.79,0.19,0.01
196201,-3.87,1.77,5.13,0.24,-3.63
196202,1.81,-1.15,0.82,0.2,2.01
196203,-0.68,0.52,-1.38,0.2,-0.48
196204,-6.59,-0.7,0.03,0.22,-6.37
196205,-8.65,-3.34,2.77,0.24,-8.41
196206,-8.47,-0.59,2.55,0.2,-8.27
196207,6.28,1.52,-3.41,0.27,6.55
196208,2.13,1.22,-1.2,0.23,2.36
196209,-5.22,-2.42,1.28,0.21,-5.01
196210,-0.05,-3.97,1.3,0.25,0.2
196211,10.87,2.61,0.95,0.2,11.07
196212,1.01,-3.8,0.36,0.23,1.24
196301,4.93,3.08,2.21,0.25,5.18
196302,-2.38,0.48,2.18,0.23,-2.15
196303,3.08,-2.59,2.06,0.23,3.31
196304,4.51,-1.34,1,0.25,4.76
196305,1.76,1.13,2.54,0.24,2
196306,-2,-0.27,0.75,0.23,-1.77
196307,-0.39,-0.45,-0.97,0.27,-0.12
196308,5.07,-0.98,1.8,0.25,5.32
196309,-1.57,-0.33,0.13,0.27,-1.3
196310,2.53,-0.58,-0.1,0.29,2.82
196311,-0.85,-1.17,1.75,0.27,-0.58
196312,1.83,-2.16,-0.02,0.29,2.12
196401,2.24,-0.11,1.48,0.3,2.54
196402,1.54,0.11,2.81,0.26,1.8
196403,1.41,0.87,3.4,0.31,1.72
196404,0.1,-1.35,-0.67,0.29,0.39
196405,1.42,-0.86,1.86,0.26,1.68
196406,1.27,-0.12,0.62,0.3,1.57
196407,1.74,0.24,0.75,0.3,2.04
196408,-1.44,0.16,0.08,0.28,-1.16
196409,2.69,-0.54,1.7,0.28,2.97
196410,0.59,0.42,1.17,0.29,0.88
196411,0,0.69,-1.96,0.29,0.29
196412,0.03,-0.35,-2.48,0.31,0.34
196501,3.54,2.7,0.12,0.28,3.82
196502,0.44,3.55,0.11,0.3,0.74
196503,-1.34,1.89,1.03,0.36,-0.98
196504,3.11,1.1,0.66,0.31,3.42
196505,-0.77,0.11,-1.61,0.31,-0.46
196506,-5.51,-4.34,0.59,0.35,-5.16
196507,1.43,0.89,2.2,0.31,1.74
196508,2.73,2.84,-1,0.33,3.06
196509,2.86,0.64,-0.13,0.31,3.17
196510,2.6,2.52,1.56,0.31,2.91
196511,-0.03,4.68,0.15,0.35,0.32
196512,1.01,2.06,2.03,0.33,1.34
196601,0.72,3.84,3.56,0.38,1.1
196602,-1.21,4.4,0.33,0.35,-0.86
196603,-2.51,0.99,-1.98,0.38,-2.13
196604,2.14,3.43,-0.46,0.34,2.48
196605,-5.66,-4.6,-1.63,0.41,-5.25
196606,-1.44,1.03,0.5,0.38,-1.06
196607,-1.63,-0.36,0.95,0.35,-1.28
196608,-7.91,-3.27,0.43,0.41,-7.5
196609,-1.06,-1.04,0.56,0.4,-0.66
196610,3.86,-6.52,2.69,0.45,4.31
196611,1.4,4.24,-4.69,0.4,1.8
196612,0.13,1.97,-1.19,0.4,0.53
196701,8.15,8.32,2.27,0.43,8.58
196702,0.78,3.35,-2.22,0.36,1.14
196703,3.99,1.55,0.37,0.39,4.38
196704,3.89,0.63,-2.48,0.32,4.21
196705,-4.33,1.9,1.09,0.33,-4
196706,2.41,5.93,0.85,0.27,2.68
196707,4.58,3.12,2.73,0.31,4.89
196708,-0.89,0.42,1.44,0.31,-0.58
196709,3.11,3.06,-2.5,0.32,3.43
196710,-3.09,1.46,-3.3,0.39,-2.7
196711,0.37,0.21,-1.7,0.36,0.73
196712,3.05,5.73,-0.53,0.33,3.38
196801,-4.06,3.92,4.8,0.4,-3.66
196802,-3.75,-2.94,1.28,0.39,-3.36
196803,0.2,-1.34,-0.59,0.38,0.58
196804,9.05,5.68,-1.13,0.43,9.48
196805,2.28,6.4,0.85,0.45,2.73
196806,0.69,-0.19,0.73,0.43,1.12
196807,-2.72,-1.36,5.39,0.48,-2.24
196808,1.34,2.34,1.01,0.42,1.76
196809,4.03,2.8,0.3,0.43,4.46
196810,0.42,-0.48,2.86,0.44,0.86
196811,5.43,2.34,-0.92,0.42,5.85
196812,-3.94,3.37,-0.01,0.43,-3.51
196901,-1.25,-0.74,1.67,0.53,-0.72
196902,-5.84,-3.92,0.91,0.46,-5.38
196903,2.64,-0.3,-0.51,0.46,3.1
196904,1.46,-0.86,-0.03,0.53,1.99
196905,-0.1,-0.21,0.7,0.48,0.38
196906,-7.18,-5.37,-1.08,0.51,-6.67
196907,-7,-3.24,1.2,0.53,-6.47
196908,4.68,0.93,-3.79,0.5,5.18
196909,-2.98,1.18,-3.27,0.62,-2.36
196910,5.06,3.91,-3.16,0.6,5.66
196911,-3.79,-2.58,-1.19,0.52,-3.27
196912,-2.63,-3.71,-2.86,0.64,-1.99
197001,-8.1,2.93,3.13,0.6,-7.5
197002,5.13,-2.58,3.93,0.62,5.75
197003,-1.06,-2.32,3.99,0.57,-0.49
